Line,Item,Qty,Finish,Vendor_Part
1,"Grade 1 Entrance Lockset Cylindrical",10,"Satin Chrome","Schlage ND53PD-RHO-626"
2,"BB Hinge 4.5x4.5 5K NRP",30,"US26D","Hager BB1279 US26D NRP"
3,"Surface Closer Sz4 ADA",10,—,"LCN 4040XP-RW/PA"
4,"Grade 2 Privacy Lockset Cylindrical",5,"US26D","Schlage ND40S-RHO-626"
5,"BB Hinge 4.5x4.5 5K",15,"US26D","Hager BB1279 US26D"
6,"Surface Closer Sz3",5,—,"LCN 4030-Series"
7,"Mortise Lock Classroom Gr1",3,"US26D","Schlage L9070P-06A-626"
8,"Continuous Hinge 83in Alum",3,—,"Pemko CFM83HD"
9,"Surface Closer Sz4 Hold-Open",3,—,"LCN 4040XP-SHCUSH"
10,"Rim Exit Device Gr1 3ft",2,—,"Von Duprin 99L-06-F"
11,"Surface Closer Sz5 Ext Arm",2,—,"LCN 4040XP-EDA"
12,"Saddle Threshold 5in 36in",2,"Brass","Pemko 271A36"
13,"Kick Plate 10x34 B4E",18,"US32D","Ives 8400 630"
14,"Convex Wall Stop Rigid",18,—,"Ives WS401CVX 630"
15,"Silencer Set 3/Frame",18,—,"Ives SR64"
16,"Door Bottom Sweep 36in",18,—,"Pemko 315CN"
