Tag,Description,Quantity,Capacity,Specification
RTU-1,"Rooftop Package Unit, Gas/Electric",1,"7.5 Ton, 14 SEER, 80% AFUE","Carrier 48FCEM09A2A6-0A0A0"
RTU-2,"Rooftop Package Unit, Gas/Electric",1,"5 Ton, 14 SEER, 80% AFUE","Carrier 48FCEM07A2A6-0A0A0"
AHU-1,"Air Handling Unit, Chilled Water",1,"10,000 CFM","Trane CSAA 025"
FCU-1,"Fan Coil Unit, Horizontal Ducted",6,"2 Ton, 208/230V","Daikin FWE02BTVM"
FCU-2,"Fan Coil Unit, Horizontal Ducted",4,"1.5 Ton, 208/230V","Daikin FWE015BTVM"
T-STAT-1,"Programmable Thermostat, 7-Day",10,—,"Honeywell TH6220D1002"
T-STAT-2,"Smart Thermostat, WiFi Enabled",4,—,"Ecobee EB-STATE5-01"
EF-1,"Exhaust Fan, Roof Mounted",3,"1,500 CFM","Greenheck G-098-VG"
EF-2,"Exhaust Fan, Inline",2,"500 CFM","Fantech FG 5XL"
RF-1,"Refrigerant Line Set, 3/8 x 3/4, 50ft",6,—,"JMF DLE0606050"
RF-2,"R-410A Refrigerant, 25 lb cylinder",4,—,"Chemours Opteon XP10"
DUCT-1,"Galvanized Sheet Metal Duct, 24 ga",800 lbs,—,"Per Spec Section 23 31 13"
DUCT-2,"Flexible Duct, Insulated, 8 in diameter",200 ft,—,"Thermaflex 052508000"
FILT-1,"MERV-13 Pleated Filter, 20x20x2",24,—,"Filtrete 2200"
INS-1,"Duct Insulation, 1.5 in Fiberglass Wrap",400 ft,—,"Johns Manville Microlite"
DAM-1,"Motorized Damper, Round 10 in",8,—,"Belimo LF24-SR + ARB24-3"
