Tag,Description,Quantity,Capacity,Vendor_Part
RTU-1,"7.5-Ton PKG RTU Gas/Elec 14 SEER",1,"7.5 Ton","Carrier 48FCEM09A2A6"
RTU-2,"5-Ton PKG RTU Gas/Elec 14 SEER",1,"5 Ton","Carrier 48FCEM07A2A6"
AHU-1,"CHW Air Handler 10000 CFM",1,"10,000 CFM","Trane CSAA 025"
FCU-1,"Horizontal Fan Coil 2-Ton 208V",6,"2 Ton","Daikin FWE02BTVM"
FCU-2,"Horizontal Fan Coil 1-Ton 208V",4,"1 Ton","Daikin FWE010BTVM"
T-STAT-1,"7-Day Prog Thermostat",10,—,"Honeywell TH6220D1002"
T-STAT-2,"Smart Thermostat WiFi",4,—,"Ecobee EB-STATE5-01"
EF-1,"Roof Exhaust Fan 1500CFM",3,"1,500 CFM","Greenheck G-098-VG"
EF-2,"Inline Exhaust 500CFM",2,"500 CFM","Fantech FG 5XL"
RF-1,"Refrigerant Line Set 3/8x3/4 50ft",6,—,"JMF DLE0606050"
RF-2,"R-410A 25lb Cylinder",4,—,"Chemours Opteon XP10"
DUCT-1,"Galv Sheet Metal Duct 24ga",800 lbs,—,"Per Spec"
DUCT-2,"8in Flex Duct Insulated",200 ft,—,"Thermaflex 052508000"
FILT-1,"MERV-13 Filter 20x20x2",24,—,"Filtrete 2200"
INS-1,"1.5in Fiberglass Duct Wrap",400 ft,—,"Johns Manville Microlite"
